sede,slug,programa_en,programa_es,precio_idr,idioma,branch_code,cloudinary_url
Nusa Penida,tryscuba,Try Scuba Diving,Bautismo de Buceo,"—",EN,NPEN,https://res.cloudinary.com/drk4qqccv/image/upload/dpm_nusa_penida_tryscuba_en_akuftv.jpg
Nusa Penida,tryscuba,Try Scuba Diving,Bautismo de Buceo,"—",ES,NPES,https://res.cloudinary.com/drk4qqccv/image/upload/dpm_nusa_penida_tryscuba_es_jfthrf.jpg
Nusa Penida,scuba,Scuba Diver,Scuba Diver,"—",EN,NPEN,https://res.cloudinary.com/drk4qqccv/image/upload/dpm_nusa_penida_scuba_en_y8qi3v.jpg
Nusa Penida,scuba,Scuba Diver,Scuba Diver,"—",ES,NPES,https://res.cloudinary.com/drk4qqccv/image/upload/dpm_nusa_penida_scuba_es_mosstp.jpg
Nusa Penida,ow,Open Water,Open Water,"—",EN,NPEN,https://res.cloudinary.com/drk4qqccv/image/upload/dpm_nusa_penida_ow_en_mh1hqf.jpg
Nusa Penida,ow,Open Water,Open Water,"—",ES,NPES,https://res.cloudinary.com/drk4qqccv/image/upload/dpm_nusa_penida_ow_es_icqoky.jpg
Nusa Penida,ow30,Open Water 30,Open Water 30,"—",EN,NPEN,https://res.cloudinary.com/drk4qqccv/image/upload/dpm_nusa_penida_ow30_en_aepdq4.jpg
Nusa Penida,ow30,Open Water 30,Open Water 30,"—",ES,NPES,https://res.cloudinary.com/drk4qqccv/image/upload/dpm_nusa_penida_ow30_es_e2kf4k.jpg
Nusa Penida,advanced,Advanced,Curso Avanzado,"—",EN,NPEN,https://res.cloudinary.com/drk4qqccv/image/upload/dpm_nusa_penida_advanced_en_wxqr2h.jpg
Nusa Penida,advanced,Advanced,Curso Avanzado,"—",ES,NPES,https://res.cloudinary.com/drk4qqccv/image/upload/dpm_nusa_penida_advanced_es_tm9o1k.jpg
Nusa Penida,deepadv,Deep Adventure,Aventura Profunda,"—",EN,NPEN,https://res.cloudinary.com/drk4qqccv/image/upload/dpm_nusa_penida_deepadv_en_g3idgn.jpg
Nusa Penida,deepadv,Deep Adventure,Aventura Profunda,"—",ES,NPES,https://res.cloudinary.com/drk4qqccv/image/upload/dpm_nusa_penida_deepadv_es_aquctv.jpg
Nusa Penida,fundives,Fun Dives,Fun Dives,"—",EN,NPEN,https://res.cloudinary.com/drk4qqccv/image/upload/dpm_nusa_penida_fundives_en_whwv3f.jpg
Nusa Penida,fundives,Fun Dives,Fun Dives,"—",ES,NPES,https://res.cloudinary.com/drk4qqccv/image/upload/dpm_nusa_penida_fundives_es_wrczfx.jpg
Nusa Penida,refresh,Refresh,Refresh,"—",EN,NPEN,https://res.cloudinary.com/drk4qqccv/image/upload/dpm_nusa_penida_refresh_en_rvsziz.jpg
Nusa Penida,refresh,Refresh,Refresh,"—",ES,NPES,https://res.cloudinary.com/drk4qqccv/image/upload/dpm_nusa_penida_refresh_es_vus5yh.jpg
Nusa Penida,reactright,React Right,React Right (EFR),"—",EN,NPEN,https://res.cloudinary.com/drk4qqccv/image/upload/dpm_nusa_penida_reactright_en_lxdy0a.jpg
Nusa Penida,reactright,React Right,React Right (EFR),"—",ES,NPES,https://res.cloudinary.com/drk4qqccv/image/upload/dpm_nusa_penida_reactright_es_pxh4s6.jpg
Nusa Penida,nitrox,Nitrox Specialty,Especialidad Nitrox,"—",EN,NPEN,https://res.cloudinary.com/drk4qqccv/image/upload/dpm_nusa_penida_nitrox_en_oqygod.jpg
Nusa Penida,nitrox,Nitrox Specialty,Especialidad Nitrox,"—",ES,NPES,https://res.cloudinary.com/drk4qqccv/image/upload/dpm_nusa_penida_nitrox_es_aiqi0l.jpg
Nusa Penida,rescue,Stress & Rescue,Stress & Rescue,"—",EN,NPEN,https://res.cloudinary.com/drk4qqccv/image/upload/dpm_nusa_penida_rescue_en_bureqc.jpg
Nusa Penida,rescue,Stress & Rescue,Stress & Rescue,"—",ES,NPES,https://res.cloudinary.com/drk4qqccv/image/upload/dpm_nusa_penida_rescue_es_ubokt5.jpg
